anio,depto,ocupados,ocupados_horas_validas,horas_sem_expandidas_validas,horas_semanales_promedio,share_ocupados_sin_horas_validas,horas_sem_expandidas,horas_anuales,horas_mensuales,departamento,ocupados_remuneracion_valida,horas_mensuales_remuneracion_valida,rem_total_mensual,rem_por_trabajador,rem_por_hora,share_ocupados_remuneracion_valida
2025,15,522604.17780840414,522586.6714904208,20981342.65734482,40.14901986976799,3.349823580967026e-05,20982045.51885338,1091066366.9803758,90922197.24836464,Boyacá,522586.6714904208,90919151.51516089,816443733369.5625,1562312.5845155204,8979.887292870517,0.9999665017641903
2010,17,392289.33006841835,392000.6324404078,18794652.59136014,47.94546497120082,0.0007359303602781919,18808494.33337119,978041705.3353018,81503475.44460848,Caldas,392000.6324404078,81443494.5625606,528810979422.43567,1349005.4241247324,6492.979976641731,0.9992640696397218
2011,17,392140.8848726636,391956.7351199289,19227263.890361473,49.05455670886332,0.00046960100269699545,19236297.27484992,1000287458.2921959,83357288.19101633,Caldas,391956.7351199289,83318143.5248997,555065114496.855,1416138.7335952246,6661.995707225201,0.999530398997303
2012,17,406426.09056768485,406134.9455655842,19425199.76566367,47.829422160686285,0.0007163541142105601,19439125.062879115,1010834503.269714,84236208.6058095,Caldas,406134.9455655842,84175865.65120922,564551801325.0352,1390059.6525591745,6706.813134115065,0.9992836458857894
2013,17,401159.16715693,400872.8196664147,19225951.546417616,47.96022729207843,0.0007138001919405612,19239684.837147247,1000463611.5316569,83371967.62763807,Caldas,400872.8196664147,83312456.701143,581328636577.1538,1450157.2769660586,6977.6916873605805,0.9992861998080594
2014,17,417250.13007695647,417171.1640890213,19739629.293107484,47.31781818192782,0.00018925335726227566,19743365.79136716,1026655021.1510923,85554585.09592436,Caldas,417171.1640890213,85538393.60346577,608398147268.8091,1458389.7441650147,7112.5739172655985,0.9998107466427377
2015,17,431007.75488342496,430832.1023065257,20455241.884324152,47.4784533808272,0.0004075392493733121,20463581.597007688,1064106243.0443997,88675520.25369997,Caldas,430832.1023065257,88639381.49873799,607052053552.8408,1409022.3321402806,6848.559221518076,0.9995924607506267
2016,17,434533.5704444661,434472.5175680921,20634002.2527705,47.492076986288694,0.00014050209357019394,20636901.780675486,1073118892.5951252,89426574.3829271,Caldas,434472.5175680921,89414009.7620055,628727494029.3502,1447105.3256684153,7031.64409808757,0.9998594979064298
2017,17,440344.9758737052,440139.80986922537,20178165.510750655,45.84489986658104,0.0004659210748861886,20187571.325682055,1049753708.9354669,87479475.74462225,Caldas,440139.80986922537,87438717.21325283,646607818670.803,1469096.4193012295,7394.982900924792,0.9995340789251138
2018,17,450151.9054625769,449841.9428183205,20952334.37759888,46.57710271818959,0.0006885734359780571,20966771.539519213,1090272120.054999,90856010.00458325,Caldas,449841.9428183205,90793448.96959513,674985542508.3862,1500494.9033420733,7434.2978504366,0.9993114265640219
2019,17,445288.5637342009,445288.5637342009,20705718.670389853,46.49955187878886,0.0,20705718.670389853,1076697370.8602724,89724780.9050227,Caldas,445288.5637342009,89724780.90502268,641849065949.1732,1441422.7497032734,7153.531716378293,1.0
2021,17,371043.28252546693,370818.0485251239,17541879.380944084,47.305894226870606,0.000607028912664842,17552534.276740607,912731782.3905115,76060981.86587596,Caldas,370818.0485251239,76014810.6507577,645982337483.9093,1742046.6453917555,8498.111512134252,0.9993929710873352
2022,17,415216.41125329334,414981.0792652766,19375455.684654873,46.68997371870324,0.0005667694764434072,19386443.328990545,1008095053.1075083,84007921.09229235,Caldas,414981.0792652766,83960307.96683778,681537288177.2893,1642333.4032094912,8117.3748010366935,0.9994332305235566
2023,17,430648.076310808,430636.7152490007,19470004.42313247,45.2121329503329,2.6381313263157402e-05,19470518.08096936,1012466940.2104067,84372245.01753388,Caldas,430636.7152490007,84370019.16690737,735663266120.011,1708315.2459367968,8719.486772483297,0.9999736186867368
2024,17,429957.62929398025,429900.7398882837,19455043.995043352,45.25473484902362,0.00013231398124036176,19457618.510013867,1011796162.5207211,84316346.87672676,Caldas,429900.7398882837,84305190.64518785,796577756916.4819,1852934.138060532,9448.73916801884,0.9998676860187596
2025,17,466839.7189306313,466788.4457754854,20361370.90066547,43.62012617265772,0.00010983031877265237,20363607.442162205,1058907586.9924346,88242298.91603622,Caldas,466788.4457754854,88232607.23621704,833197136154.7987,1784956.6408409935,9443.188434001011,0.9998901696812273
2010,18,172190.04403764955,172141.48263309392,8388391.47154257,48.72963415460856,0.00028202213912564833,8390757.8510206,436319408.25307125,36359950.687755935,Caquetá,172141.48263309392,36349696.37668447,221605127297.41516,1287342.9687471038,6096.478083364618,0.9997179778608744
2011,18,178113.07661708834,177991.6162788748,8689322.980637332,48.81872057964248,0.0006819282476079325,8695252.518950088,452153130.98540455,37679427.58211704,Caquetá,177991.6162788748,37653732.9160951,242630541231.93704,1363157.1323662058,6443.731403008506,0.9993180717523921
2012,18,180928.50610079736,180909.75283894222,8744662.360480923,48.33715276956902,0.00010365012268820362,8745568.839764142,454769579.6677354,37897464.97231128,Caquetá,180909.75283894222,37893536.89541733,249916497328.57938,1381442.9206095457,6595.227519097145,0.9998963498773118
2013,18,177713.73870010916,177571.179369197,8557136.143624907,48.18989305597472,0.0008021851993825768,8564006.062535696,445328315.2518562,37110692.93765468,Caquetá,177571.179369197,37080923.289041266,239913972182.9946,1351086.2124994823,6470.01074684399,0.9991978148006174
