anio,pib_miles_millones_2015,ocupados,horas_sem_expandidas,horas_anuales,group_code,group_name,group_label_short,group_order,sector_code,dane_groups,pib_pesos_2015,pib_por_trabajador_millones_2015,pib_por_hora_pesos_2015
2019,73036.0,3580631.17669571,168970412.54264712,8786461452.21765,070|071,Comercio; Reparación de vehículos,Comercio; Reparación de vehículos,42,G+H+I,070; 071,73036000000000.0,20.397521106152944,8312.333741766563
2021,81172.0,3130347.295958381,145851941.2158479,7584300943.224091,070|071,Comercio; Reparación de vehículos,Comercio; Reparación de vehículos,42,G+H+I,070; 071,81172000000000.0,25.93066913208061,10702.634376938864
2022,86695.0,3641524.378362894,171091814.51108447,8896774354.576393,070|071,Comercio; Reparación de vehículos,Comercio; Reparación de vehículos,42,G+H+I,070; 071,86695000000000.0,23.80733753016234,9744.542970835844
2023,82350.00000000001,3722876.404271566,174536265.68061042,9075885815.391743,070|071,Comercio; Reparación de vehículos,Comercio; Reparación de vehículos,42,G+H+I,070; 071,82350000000000.02,22.11999299936818,9073.494496850448
2024,82808.0,3727427.376529053,173721753.28882128,9033531171.018705,070|071,Comercio; Reparación de vehículos,Comercio; Reparación de vehículos,42,G+H+I,070; 071,82808000000000.0,22.21585872374798,9166.736510044255
2025,89073.1388550324,3902758.9035457782,179586768.97197655,9338511986.542782,070|071,Comercio; Reparación de vehículos,Comercio; Reparación de vehículos,42,G+H+I,070; 071,89073138855032.4,22.82312104242634,9538.25823465139
2010,24131.0,876941.7311406662,52298631.51771083,2719528838.920963,"072,074",Transporte terrestre y tuberías,Transporte terrestre y tuberías,44,G+H+I,"072,074",24131000000000.0,27.51722166148033,8873.228205799996
2011,25187.0,916517.1534402434,54384125.89154963,2827974546.360581,"072,074",Transporte terrestre y tuberías,Transporte terrestre y tuberías,44,G+H+I,"072,074",25187000000000.0,27.481209604706194,8906.374363381039
2012,25846.0,951860.0134858137,56301514.452267595,2927678751.517915,"072,074",Transporte terrestre y tuberías,Transporte terrestre y tuberías,44,G+H+I,"072,074",25846000000000.0,27.15315238986578,8828.154382238698
2013,26271.0,957495.5372523029,55770754.050464064,2900079210.624131,"072,074",Transporte terrestre y tuberías,Transporte terrestre y tuberías,44,G+H+I,"072,074",26271000000000.0,27.43720359824248,9058.718087340163
