anio,rama_ptf,sexo,grupo_edad,grupo_educ,horas_pond,ingreso_pond,n
2009,G-H_ComercioHotelesRest,Hombre,15-29,3_Alto,5782214.569842692,23200917423.194942,2783
2009,G-H_ComercioHotelesRest,Hombre,30-49,1_Bajo,16356329.961912308,41775743974.844505,5942
2009,G-H_ComercioHotelesRest,Hombre,30-49,2_Medio,25557183.670247238,81845837006.44215,9989
2009,G-H_ComercioHotelesRest,Hombre,30-49,3_Alto,7679182.13175541,53154109850.81427,3067
2009,G-H_ComercioHotelesRest,Hombre,50+,1_Bajo,14576146.105685484,28830502107.867912,5683
2009,G-H_ComercioHotelesRest,Hombre,50+,2_Medio,6677287.4425724875,22992829326.804485,2975
2009,G-H_ComercioHotelesRest,Hombre,50+,3_Alto,2074459.382023048,18585698578.13115,786
2009,G-H_ComercioHotelesRest,Mujer,15-29,1_Bajo,2477923.787278295,3476258142.342744,959
2009,G-H_ComercioHotelesRest,Mujer,15-29,2_Medio,13643622.228588687,28034014176.145355,6506
2009,G-H_ComercioHotelesRest,Mujer,15-29,3_Alto,5944116.189248381,19904228423.067013,3296
2009,G-H_ComercioHotelesRest,Mujer,30-49,1_Bajo,12525367.232921034,20386927905.411266,5171
2009,G-H_ComercioHotelesRest,Mujer,30-49,2_Medio,20792137.945005115,51997586346.50539,10152
2009,G-H_ComercioHotelesRest,Mujer,30-49,3_Alto,6648412.447711574,33785206039.55177,3440
2009,G-H_ComercioHotelesRest,Mujer,50+,1_Bajo,9443463.853408083,14356526372.491953,4423
2009,G-H_ComercioHotelesRest,Mujer,50+,2_Medio,4411611.752982446,11833814103.284254,2527
2009,G-H_ComercioHotelesRest,Mujer,50+,3_Alto,1181474.7247902383,7863566851.852835,551
2009,I_TransporteComunicaciones,Hombre,15-29,1_Bajo,3385126.797557572,5500750985.007559,1227
2009,I_TransporteComunicaciones,Hombre,15-29,2_Medio,12145989.654028133,23910119178.63326,4889
2009,I_TransporteComunicaciones,Hombre,15-29,3_Alto,3376249.1108007343,13218358717.484533,1591
2009,I_TransporteComunicaciones,Hombre,30-49,1_Bajo,9950502.245278481,19999737211.493206,3407
2009,I_TransporteComunicaciones,Hombre,30-49,2_Medio,18883516.903636016,50871645340.59043,6815
2009,I_TransporteComunicaciones,Hombre,30-49,3_Alto,4632793.979516092,34569821455.30496,1702
2009,I_TransporteComunicaciones,Hombre,50+,1_Bajo,5992286.841095081,13727499518.76061,2412
2009,I_TransporteComunicaciones,Hombre,50+,2_Medio,4398148.368489702,12312698295.860521,1622
2009,I_TransporteComunicaciones,Hombre,50+,3_Alto,1004193.0401494341,7626144029.689744,317
2009,I_TransporteComunicaciones,Mujer,15-29,1_Bajo,285376.20030436444,198523227.83860648,89
2009,I_TransporteComunicaciones,Mujer,15-29,2_Medio,3129645.4190470697,5061933220.480041,1273
2009,I_TransporteComunicaciones,Mujer,15-29,3_Alto,2044921.1880932278,7362813695.057292,981
